maxRunLength,codebook,numBits,numBitErrors
71,geometric_codebook.pickle,831,0
72,filep_01_1000_codebook.pickle,771,0
72,geometric_codebook.pickle,831,0
73,filep_01_1000_codebook.pickle,772,0
73,geometric_codebook.pickle,832,0
74,filep_01_1000_codebook.pickle,777,0
74,geometric_codebook.pickle,834,0
75,filep_01_1000_codebook.pickle,778,0
75,geometric_codebook.pickle,836,0
76,filep_01_1000_codebook.pickle,774,0
76,geometric_codebook.pickle,834,0
77,filep_01_1000_codebook.pickle,769,0
77,geometric_codebook.pickle,833,0
78,filep_01_1000_codebook.pickle,767,0
78,geometric_codebook.pickle,831,0
79,filep_01_1000_codebook.pickle,771,0
79,geometric_codebook.pickle,829,0
80,filep_01_1000_codebook.pickle,761,0
80,geometric_codebook.pickle,828,0
81,filep_01_1000_codebook.pickle,764,0
81,geometric_codebook.pickle,829,0
82,filep_01_1000_codebook.pickle,775,0
82,geometric_codebook.pickle,829,0
83,filep_01_1000_codebook.pickle,769,0
83,geometric_codebook.pickle,830,0
84,filep_01_1000_codebook.pickle,774,0
84,geometric_codebook.pickle,832,0
85,filep_01_1000_codebook.pickle,768,0
85,geometric_codebook.pickle,833,0
86,filep_01_1000_codebook.pickle,767,0
86,geometric_codebook.pickle,834,0
87,filep_01_1000_codebook.pickle,763,0
87,geometric_codebook.pickle,836,0
88,filep_01_1000_codebook.pickle,778,0
88,geometric_codebook.pickle,835,0
89,filep_01_1000_codebook.pickle,762,0
89,geometric_codebook.pickle,835,0
90,filep_01_1000_codebook.pickle,762,0
90,geometric_codebook.pickle,835,0
91,filep_01_1000_codebook.pickle,763,0
91,geometric_codebook.pickle,836,0
92,filep_01_1000_codebook.pickle,768,0
92,geometric_codebook.pickle,836,0
93,filep_01_1000_codebook.pickle,760,0
93,geometric_codebook.pickle,835,0
94,filep_01_1000_codebook.pickle,781,0
94,geometric_codebook.pickle,835,0
95,filep_01_1000_codebook.pickle,764,0
95,geometric_codebook.pickle,835,0
96,filep_01_1000_codebook.pickle,766,0
96,geometric_codebook.pickle,834,0
97,filep_01_1000_codebook.pickle,753,0
